State,Genomes collected in time window,Reported COVID-19 cases,Reported COVID-19 deaths,% of cases sequenced and shared,Median days to deposition
Alabama,"13,738","852,280","16,265",1.612,31
Alaska,"8,624","153,425",886,5.621,22
Arizona,"49,972","1,316,189","23,036",3.797,29
Arkansas,"10,555","538,426","8,848",1.96,27
California,"292,813","5,156,692","75,275",5.678,29
Colorado,"102,159","854,084","9,627",11.961,33
Connecticut,"20,914","439,423","8,972",4.759,20
Delaware,"6,704","160,768","2,218",4.17,31
District of Columbia,"5,491","68,702","1,199",7.992,25
Florida,"105,613","3,754,042","62,026",2.813,28
Georgia,"35,772","1,678,746","30,823",2.131,28
Hawaii,"6,784","89,229","1,058",7.603,32
Idaho,"13,183","311,692","4,029",4.229,30
Illinois,"47,046","1,884,744","29,234",2.496,27
Indiana,"27,931","1,150,899","18,014",2.427,23
Iowa,"10,246","546,287","7,550",1.876,24
Kansas,"13,510","486,895","6,834",2.775,16
Kentucky,"15,327","810,910","11,542",1.89,27
Louisiana,"18,945","775,935","14,877",2.442,31
Maine,"10,773","129,997","1,367",8.287,26
Maryland,"36,684","592,679","11,255",6.19,28
Massachusetts,"81,694","969,589","19,634",8.426,13
Michigan,"52,929","1,567,578","26,914",3.376,24
Minnesota,"80,304","956,779","9,996",8.393,22
Mississippi,"8,125","519,115","10,326",1.565,20
Missouri,"17,037","946,931","15,709",1.799,26
Montana,"8,559","193,718","2,821",4.418,25
Nebraska,"12,604","321,866","3,263",3.916,22
Nevada,"24,687","464,385","8,188",5.316,23
New Hampshire,"6,559","174,456","1,781",3.76,20
New Jersey,"36,778","1,303,443","28,576",2.822,22
New Mexico,"18,682","329,778","5,472",5.665,25
New York,"96,000","2,846,533","58,168",3.373,22
North Carolina,"46,402","1,566,269","18,976",2.963,24
North Dakota,"8,831","167,147","1,989",5.283,28
Ohio,"26,565","1,781,411","27,370",1.491,27
Oklahoma,"3,497","680,054","12,070",0.514,29
Oregon,"26,474","400,188","5,381",6.615,35
Pennsylvania,"36,728","1,837,742","34,616",1.999,22
Puerto Rico,,"189,952","3,276",,
Rhode Island,"9,988","201,275","2,957",4.962,21
South Carolina,"15,445","929,077","14,375",1.662,28
South Dakota,"2,886","171,248","2,398",1.685,30
Tennessee,"24,474","1,336,078","17,721",1.832,28
Texas,"140,222","4,390,761","74,607",3.194,39
Utah,"46,972","610,681","3,640",7.692,42
Vermont,"10,878","55,849",432,19.478,11
Virgin Islands,304,"7,605",87,3.997,31
Virginia,"23,868","994,069","14,895",2.401,25
Washington,"69,132","790,411","9,554",8.746,23
West Virginia,"18,300","307,432","5,085",5.953,29
Wisconsin,"37,607","1,024,094","10,386",3.672,27
Wyoming,"23,640","112,862","1,472",20.946,49
