State,Genomes shared,Reported COVID-19 cases,% of cases sequenced and shared,Median days to deposition
California,"12,881","154,100",8.359,12
Massachusetts,"7,433","85,983",8.645,13
Minnesota,"4,397","118,017",3.726,15
Colorado,"3,354","83,398",4.022,20
New York,"3,050","199,179",1.531,16
Michigan,"3,049","225,492",1.352,18
Arizona,"2,802","105,368",2.659,18
Texas,"1,907","95,423",1.998,19
Pennsylvania,"1,783","172,653",1.033,18
Vermont,"1,693","10,818",15.65,14
Illinois,"1,633","141,200",1.157,19
Wisconsin,"1,520","98,041",1.55,19
New Jersey,"1,511","68,248",2.214,18
Indiana,"1,458","93,130",1.566,18
Connecticut,"1,416","25,787",5.491,17
Washington,"1,410","46,431",3.037,14
Utah,"1,267","44,805",2.828,20
Nevada,"1,184","17,838",6.638,17
New Mexico,"1,127","41,569",2.711,20
North Carolina,"1,084","63,459",1.708,17
Nebraska,993,"26,731",3.715,12
Florida,970,"39,748",2.44,18
Ohio,956,"163,728",0.584,18
Kansas,888,"37,476",2.37,8
Maryland,814,"26,597",3.06,18
Iowa,602,"40,216",1.497,15
Virginia,511,"49,513",1.032,18
New Hampshire,502,"28,288",1.775,16
West Virginia,461,"23,178",1.989,18
Rhode Island,459,"15,870",2.892,17
Missouri,448,"61,835",0.725,20
Georgia,440,"30,751",1.431,18
Oregon,425,"24,364",1.744,18
Tennessee,417,"40,740",1.024,19
Maine,412,"15,346",2.685,16
North Dakota,402,"12,971",3.099,12
Kentucky,372,"48,710",0.764,18
Montana,309,"12,138",2.546,14
Idaho,249,"13,015",1.913,16
Louisiana,241,"11,772",2.047,16
Wyoming,216,"6,881",3.139,15
Alaska,204,"10,419",1.958,18
South Carolina,199,"22,629",0.879,19
District of Columbia,187,"3,199",5.846,18
Mississippi,140,"9,930",1.41,17
Delaware,138,"10,551",1.308,18
Arkansas,115,"17,413",0.66,18
Hawaii,110,"3,340",3.293,24
Oklahoma,73,"26,549",0.275,19
South Dakota,49,"11,768",0.416,20
Alabama,40,"12,747",0.314,19
