geometry	County, State	FIPS	State	COUNTYFP	COUNTYNS	County	County long name	County, State	County long name, State	State initial	State code
{"type":"Polygon","coordinates":[[[-82.742148,34.211897],[-82.731975,34.193154],[-82.732359,34.180564],[-82.717507,34.150504],[-82.70414,34.141007],[-82.67732,34.131657],[-82.659077,34.103544],[-82.648184,34.098649],[-82.640345,34.086304],[-82.640543,34.067595],[-82.622155,34.058516],[-82.609655,34.039917],[-82.596155,34.030517],[-82.594488,34.013937],[-82.530462,34.071919],[-82.49956,34.072098],[-82.483551,34.081215],[-82.452707,34.060344],[-82.376589,34.057374],[-82.326947,34.06412],[-82.289846,34.089511],[-82.267184,34.10836],[-82.249795,34.13452],[-82.240446,34.16302],[-82.23997,34.191621],[-82.247747,34.219619],[-82.264437,34.244815],[-82.294345,34.271217],[-82.307622,34.277537],[-82.311081,34.320441],[-82.323699,34.325199],[-82.334234,34.34263],[-82.246337,34.409676],[-82.266065,34.433234],[-82.277797,34.436734],[-82.287926,34.453585],[-82.314544,34.469625],[-82.313996,34.484002],[-82.509062,34.357739],[-82.650856,34.267496],[-82.742148,34.211897]]]}	Abbeville, South Carolina	45001	South Carolina	001	01245666	Abbeville	Abbeville County	Abbeville, South Carolina	Abbeville County, South Carolina	SC	45
{"type":"Polygon","coordinates":[[[-92.631987,30.481147],[-92.619942,30.45407],[-92.602713,30.439131],[-92.597524,30.428865],[-92.605398,30.407202],[-92.607182,30.38667],[-92.626016,30.382485],[-92.627808,30.347064],[-92.619157,30.330541],[-92.629226,30.318001],[-92.62131,30.307985],[-92.627573,30.299938],[-92.622484,30.241758],[-92.626648,30.230387],[-92.614872,30.224271],[-92.614736,30.215034],[-92.59054,30.198828],[-92.595722,30.179073],[-92.611704,30.171461],[-92.607727,30.159425],[-92.621773,30.147967],[-92.62595,30.117771],[-92.618338,30.10415],[-92.625484,30.09233],[-92.615328,30.088821],[-92.603813,30.097306],[-92.581775,30.097426],[-92.568332,30.109529],[-92.534638,30.107852],[-92.519356,30.088914],[-92.505971,30.079282],[-92.469755,30.06203],[-92.426039,30.049369],[-92.407155,30.053988],[-92.37615,30.066566],[-92.345851,30.093342],[-92.325048,30.116265],[-92.295516,30.136465],[-92.284675,30.147443],[-92.262698,30.161417],[-92.246328,30.185459],[-92.2479,30.211039],[-92.233996,30.219685],[-92.209894,30.226357],[-92.210202,30.241344],[-92.176097,30.241076],[-92.176279,30.269923],[-92.159137,30.269839],[-92.159509,30.284542],[-92.142014,30.284523],[-92.142184,30.298817],[-92.141509,30.320764],[-92.15846,30.320806],[-92.158606,30.349736],[-92.175775,30.349572],[-92.176444,30.436852],[-92.24425,30.436678],[-92.244795,30.480193],[-92.389177,30.480004],[-92.493259,30.480499],[-92.631987,30.481147]]]}	Acadia, Louisiana	22001	Louisiana	001	00558389	Acadia	Acadia Parish	Acadia, Louisiana	Acadia Parish, Louisiana	LA	22
{"type":"MultiPolygon","coordinates":[[[[-75.648229,37.966771],[-75.636869,37.95564],[-75.643049,37.936334],[-75.665628,37.936991],[-75.678701,37.942708],[-75.693942,37.930362],[-75.719344,37.93446],[-75.72897,37.921336],[-75.743468,37.912055],[-75.72049,37.901926],[-75.696883,37.901834],[-75.678938,37.88833],[-75.680127,37.875292],[-75.692898,37.867792],[-75.689277,37.859531],[-75.672283,37.850898],[-75.689158,37.836446],[-75.702914,37.849659],[-75.719463,37.820583],[-75.718868,37.79326],[-75.744181,37.786028],[-75.770607,37.804602],[-75.793399,37.804493],[-75.816396,37.789344],[-75.804314,37.781426],[-75.78732,37.757095],[-75.792668,37.750612],[-75.812155,37.749502],[-75.82968,37.734991],[-75.825943,37.728151],[-75.800749,37.733039],[-75.809543,37.717529],[-75.835926,37.70982],[-75.852326,37.685372],[-75.845908,37.669758],[-75.868481,37.668224],[-75.887264,37.653154],[-75.892392,37.63748],[-75.884531,37.631981],[-75.882036,37.607224],[-75.897604,37.607789],[-75.909586,37.622671],[-75.925412,37.596303],[-75.917569,37.58585],[-75.932001,37.579556],[-75.941182,37.563839],[-75.933915,37.552277],[-75.90041,37.557265],[-75.884455,37.549542],[-75.834926,37.55409],[-75.788084,37.528859],[-75.804797,37.514726],[-75.79293,37.491484],[-75.812793,37.473895],[-75.80242,37.462433],[-75.78703,37.464578],[-75.776564,37.454589],[-75.763912,37.463308],[-75.72852,37.459775],[-75.713275,37.449876],[-75.68326,37.454744],[-75.677253,37.462855],[-75.69106,37.473605],[-75.684048,37.487468],[-75.66955,37.484356],[-75.623202,37.541104],[-75.600147,37.571346],[-75.612863,37.57728],[-75.614527,37.609296],[-75.599316,37.636875],[-75.587075,37.689651],[-75.5784,37.69614],[-75.562951,37.736469],[-75.551898,37.748122],[-75.526823,37.788705],[-75.48927,37.832457],[-75.452681,37.86351],[-75.425334,37.870086],[-75.424146,37.879279],[-75.411667,37.896817],[-75.386354,37.899443],[-75.381482,37.892972],[-75.352485,37.88969],[-75.350346,37.879654],[-75.370192,37.866333],[-75.389207,37.876652],[-75.397763,37.870086],[-75.384794,37.851469],[-75.37661,37.853666],[-75.349871,37.877309],[-75.298275,37.956759],[-75.242266,38.027209],[-75.398839,38.013277],[-75.624341,37.994211],[-75.648229,37.966771]]],[[[-75.999258,37.8297],[-75.995765,37.812603],[-75.973542,37.833536],[-75.998736,37.845362],[-75.999258,37.8297]]],[[[-76.04653,37.953586],[-76.028922,37.951048],[-76.025119,37.943739],[-75.993905,37.953489],[-76.04653,37.953586]]]]}	Accomack, Virginia	51001	Virginia	001	01480091	Accomack	Accomack County	Accomack, Virginia	Accomack County, Virginia	VA	51
{"type":"Polygon","coordinates":[[[-116.512502,43.807161],[-116.513123,43.634183],[-116.473492,43.634103],[-116.473597,43.459218],[-116.513358,43.459256],[-116.513683,43.372002],[-116.511897,43.29052],[-116.501165,43.282129],[-116.484082,43.289271],[-116.433042,43.296247],[-116.410247,43.284421],[-116.403329,43.262982],[-116.388585,43.253172],[-116.376059,43.231088],[-116.384352,43.217108],[-116.385955,43.193577],[-116.355887,43.167351],[-116.336044,43.161372],[-116.330694,43.147564],[-116.319411,43.143972],[-116.309667,43.125139],[-116.299945,43.119216],[-116.269363,43.117213],[-116.266207,43.112269],[-115.978714,43.113432],[-115.978583,43.200415],[-115.974913,43.285773],[-115.974845,43.546016],[-115.975719,43.591438],[-115.980277,43.585946],[-116.153434,43.713909],[-116.282019,43.807365],[-116.512502,43.807161]]]}	Ada, Idaho	16001	Idaho	001	00395066	Ada	Ada County	Ada, Idaho	Ada County, Idaho	ID	16
{"type":"Polygon","coordinates":[[[-94.700629,41.504148],[-94.700097,41.331044],[-94.700589,41.158085],[-94.470603,41.157566],[-94.241637,41.157134],[-94.241454,41.38821],[-94.241593,41.503679],[-94.513996,41.503853],[-94.700629,41.504148]]]}	Adair, Iowa	19001	Iowa	001	00465190	Adair	Adair County	Adair, Iowa	Adair County, Iowa	IA	19
{"type":"Polygon","coordinates":[[[-85.526881,37.10945],[-85.522736,37.067339],[-85.503629,37.00768],[-85.441755,36.954076],[-85.45183,36.938138],[-85.232026,36.925069],[-85.210618,36.980032],[-85.205831,36.996862],[-85.166186,37.033265],[-85.089643,37.125545],[-85.043316,37.186028],[-85.053339,37.19651],[-85.056898,37.257041],[-85.112093,37.28209],[-85.147434,37.30443],[-85.165174,37.310396],[-85.188375,37.306955],[-85.184157,37.296354],[-85.192179,37.272584],[-85.223594,37.262494],[-85.248527,37.264183],[-85.272446,37.260032],[-85.294005,37.245749],[-85.314663,37.24074],[-85.307773,37.228028],[-85.317235,37.223913],[-85.352771,37.192432],[-85.380258,37.168314],[-85.43384,37.144807],[-85.481894,37.127835],[-85.526881,37.10945]]]}	Adair, Kentucky	21001	Kentucky	001	00516847	Adair	Adair County	Adair, Kentucky	Adair County, Kentucky	KY	21
{"type":"Polygon","coordinates":[[[-92.855629,40.342736],[-92.855505,40.211761],[-92.856191,40.037253],[-92.847477,40.037301],[-92.622069,40.038224],[-92.509616,40.03706],[-92.345064,40.03721],[-92.346455,40.215888],[-92.348616,40.215834],[-92.347801,40.302756],[-92.349975,40.346505],[-92.460645,40.345204],[-92.684167,40.343466],[-92.743615,40.342481],[-92.855629,40.342736]]]}	Adair, Missouri	29001	Missouri	001	00765805	Adair	Adair County	Adair, Missouri	Adair County, Missouri	MO	29
{"type":"Polygon","coordinates":[[[-94.797279,36.16139],[-94.797201,35.900917],[-94.807333,35.900926],[-94.807755,35.682198],[-94.807297,35.638604],[-94.683553,35.638215],[-94.472647,35.638556],[-94.492932,35.759166],[-94.522658,35.93425],[-94.552184,36.102235],[-94.562828,36.161893],[-94.797279,36.16139]]]}	Adair, Oklahoma	40001	Oklahoma	001	01101788	Adair	Adair County	Adair, Oklahoma	Adair County, Oklahoma	OK	40
{"type":"Polygon","coordinates":[[[-105.052892,39.914224],[-105.053246,39.791063],[-104.960268,39.790966],[-104.940476,39.794601],[-104.927002,39.783778],[-104.903438,39.783808],[-104.903561,39.798391],[-104.884627,39.798321],[-104.884585,39.812975],[-104.866075,39.812986],[-104.866041,39.798386],[-104.790895,39.798251],[-104.790859,39.841802],[-104.762279,39.84539],[-104.732138,39.845086],[-104.73155,39.898611],[-104.705568,39.89849],[-104.705375,39.906418],[-104.633858,39.906067],[-104.633969,39.899289],[-104.600435,39.899459],[-104.605791,39.873827],[-104.619841,39.873767],[-104.619938,39.822421],[-104.76247,39.82298],[-104.762606,39.798433],[-104.734399,39.798442],[-104.734601,39.769181],[-104.764576,39.769391],[-104.781727,39.773387],[-104.828229,39.773174],[-104.832961,39.766195],[-104.856523,39.768391],[-104.856431,39.758387],[-104.879901,39.754607],[-104.884646,39.740156],[-104.659953,39.740477],[-104.526958,39.738669],[-104.394586,39.73804],[-104.209525,39.739018],[-103.972303,39.740401],[-103.706547,39.739894],[-103.705701,40.001366],[-103.8661,40.001233],[-104.150332,40.000856],[-104.37683,40.000739],[-104.60186,40.000529],[-104.961405,40.000337],[-104.980944,40.000325],[-104.997423,39.981213],[-105.015845,39.981193],[-105.015469,39.921402],[-105.034395,39.921305],[-105.052892,39.914224]]]}	Adams, Colorado	08001	Colorado	001	00198116	Adams	Adams County	Adams, Colorado	Adams County, Colorado	CO	08
{"type":"Polygon","coordinates":[[[-116.783772,45.078266],[-116.797329,45.060267],[-116.847944,45.022602],[-116.844625,45.001435],[-116.856754,44.984298],[-116.848093,44.971906],[-116.834915,44.985756],[-116.826271,44.982493],[-116.850737,44.958113],[-116.835702,44.940633],[-116.838467,44.923601],[-116.852427,44.887577],[-116.865338,44.870599],[-116.895805,44.855752],[-116.899641,44.840608],[-116.625034,44.838952],[-116.624171,44.666215],[-116.599263,44.636862],[-116.603212,44.615192],[-116.529167,44.615154],[-116.528898,44.491545],[-116.407648,44.444436],[-116.299876,44.444576],[-116.280066,44.458403],[-116.257022,44.466265],[-116.236136,44.464713],[-116.233874,44.481262],[-116.220383,44.497392],[-116.217788,44.508556],[-116.185376,44.494678],[-116.176557,44.500656],[-116.157022,44.498928],[-116.164247,44.513305],[-116.165333,44.539749],[-116.176306,44.561],[-116.176206,44.578721],[-116.184176,44.585652],[-116.170135,44.624413],[-116.177557,44.645936],[-116.169741,44.657018],[-116.157413,44.70296],[-116.183488,44.726153],[-116.176562,44.745238],[-116.206284,44.766973],[-116.211211,44.780872],[-116.202464,44.795945],[-116.198307,44.824011],[-116.197011,44.864216],[-116.190619,44.865112],[-116.186432,44.887736],[-116.172515,44.901462],[-116.161903,44.901813],[-116.155183,44.928169],[-116.155545,44.942101],[-116.130684,44.941914],[-116.115386,44.961947],[-116.112956,44.975969],[-116.134981,45.000791],[-116.128019,45.014923],[-116.104704,45.030778],[-116.101295,45.052153],[-116.089118,45.063617],[-116.112722,45.074454],[-116.140115,45.078323],[-116.139492,45.099676],[-116.144386,45.107651],[-116.30475,45.108793],[-116.304153,45.119164],[-116.285969,45.128732],[-116.283087,45.13722],[-116.295071,45.147794],[-116.303666,45.171645],[-116.301084,45.184521],[-116.312733,45.211389],[-116.330698,45.239504],[-116.342876,45.267872],[-116.687213,45.267681],[-116.703607,45.239757],[-116.709536,45.203015],[-116.724205,45.171501],[-116.731216,45.139934],[-116.745535,45.133038],[-116.754643,45.113972],[-116.774847,45.105536],[-116.782492,45.09579],[-116.783772,45.078266]]]}	Adams, Idaho	16003	Idaho	003	00395067	Adams	Adams County	Adams, Idaho	Adams County, Idaho	ID	16
