X,country_code,recent_cases,recent_sequences,population_size,recent_omicron_cases,percent_sequences_omicron_30d,percent_of_recent_cases_sequenced,per_capita_seq_rate,max_prevalence_variant_pct,max_prevalence_variant_pct_log10
1,ABW,0,0,107195,0,NA,NA,0,100,2
2,AFG,1022,0,39835428,0,NA,0,0,100,2
3,AGO,843,0,33933611,0,NA,0,0,100,2
4,AIA,0,0,15125,0,NA,NA,0,100,2
5,ALB,15215,0,2872934,0,NA,0,0,100,2
6,AND,1196,0,77354,0,NA,0,0,100,2
7,ARE,2182,0,9991083,0,NA,0,0,100,2
8,ARG,39001,17,45605823,0,0,0.0435886259326684,0.0372759417147236,16.156611126074,1.2083502720581178
9,ARM,33385,0,2968128,0,NA,0,0,100,2
10,ATG,101,0,98728,0,NA,0,0,100,2
11,AUS,39760,1810,25788217,2,0.00110497237569061,4.5523138832998,7.01870935861909,0.165373177979122,-0.7815349276750234
12,AUT,324088,394,9043072,0,0,0.121571918738121,4.35692649577489,0.757454882188469,-0.12064323081264448
13,AZE,58863,0,10223344,0,NA,0,0,100,2
14,BDI,347,0,12255429,0,NA,0,0,100,2
15,BEL,340983,2319,11632334,1,4.3122035360069e-4,0.680092555933874,19.9358099586893,0.12909866890779,-0.8890782355723242
16,BEN,101,0,12451031,0,NA,0,0,100,2
17,BES,0,0,26445,0,NA,NA,0,100,2
18,BFA,918,0,21497097,0,NA,0,0,100,2
19,BGD,6622,0,166303494,0,NA,0,0,100,2
20,BGR,91157,0,6896655,0,NA,0,0,100,2
21,BHR,836,419,1748295,0,0,50.1196172248804,23.9662070760369,0.712422059393192,-0.14726264153274915
22,BHS,383,0,396914,0,NA,0,0,100,2
23,BIH,20040,0,3263459,0,NA,0,0,100,2
24,BLM,0,0,NA,0,NA,NA,NA,100,2
25,BLR,55648,0,9442867,0,NA,0,0,100,2
26,BLZ,3367,0,404915,0,NA,0,0,100,2
27,BMU,0,0,62092,0,NA,NA,0,100,2
28,BOL,24012,0,11832936,0,NA,0,0,100,2
29,BRA,287505,571,213993441,0,0,0.198605241647971,0.266830608139994,0.523272766098426,-0.28127186766995227
30,BRB,7772,0,287708,0,NA,0,0,100,2
31,BRN,2037,0,441532,0,NA,0,0,100,2
32,BTN,19,0,779900,0,NA,0,0,100,2
33,BWA,8315,102,2397240,19,0.186274509803922,1.22669873722189,4.25489312709616,2.89428195829263,0.4615408374139089
34,CAF,190,0,4919987,0,NA,0,0,100,2
35,CAN,73946,2987,38067913,0,0,4.03943418170016,7.8465031692176,0.100242066642209,-0.9989499882823084
36,CHE,114276,5710,8715494,0,0,4.99667471735097,65.5155060631101,0.0524509029867226,-1.2802470306586953
37,CHL,68670,982,19212362,0,0,1.43002766855978,5.11129240642041,0.304599537725958,-0.5162707601044343
38,CHN,1592,0,1444216102,0,NA,0,0,100,2
39,CIV,437,0,27053629,0,NA,0,0,100,2
40,CMR,4295,0,27224262,0,NA,0,0,100,2
41,COD,645,0,92377986,0,NA,0,0,100,2
42,COG,1514,9,5657017,0,0,0.59445178335535,0.159094448540635,28.3128835563113,1.4519841028098406
43,COK,0,0,17572,0,NA,NA,0,100,2
44,COL,66325,116,51265841,0,0,0.174896343761779,0.226271524542043,2.54946579573923,0.4064491897408892
45,COM,259,0,888456,0,NA,0,0,100,2
46,CPV,165,0,NA,0,NA,0,NA,100,2
47,CRI,6862,8,5139053,0,0,0.116584086272224,0.155670704310697,31.2343978066368,1.4946331372461583
48,CUB,11607,0,11317498,0,NA,0,0,100,2
49,CUW,0,4,164796,0,0,Inf,2.42724337969368,52.7129195498412,1.721917070650016
50,CYM,0,0,66498,0,NA,NA,0,100,2
51,CYP,7934,0,NA,0,NA,0,NA,100,2
52,CZE,380294,481,10724553,0,0,0.126481090945426,4.48503541359719,0.620877900253169,-0.2069937983097775
53,DEU,1212875,9916,83900471,0,0,0.817561578893126,11.8187655942956,0.0302065328493861,-1.5198991208304327
54,DJI,26,0,1002197,0,NA,0,0,100,2
55,DMA,1172,0,72172,0,NA,0,0,100,2
56,DNK,96374,23874,5813302,0,0,24.7722414759167,410.678819025745,0.0125473080662797,-1.9014494389129428
57,DOM,26588,0,10953714,0,NA,0,0,100,2
58,DZA,3882,0,44616626,0,NA,0,0,100,2
59,ECU,8573,172,17888474,0,0,2.00629884521171,0.961512983164467,1.72662480860445,0.2371979766785863
60,EGY,27582,0,104258327,0,NA,0,0,100,2
61,ERI,502,0,3601462,0,NA,0,0,100,2
62,ESP,119864,1382,46745211,0,0,1.15297336981913,2.95645258719658,0.216533120513795,-0.6644756653325867
63,EST,31348,103,1325188,0,0,0.328569605716473,7.77248209310679,2.8665888103637,0.45736540128369757
64,ETH,6686,0,117876226,0,NA,0,0,100,2
65,FIN,24753,0,5548361,0,NA,0,0,100,2
66,FJI,353,0,902899,0,NA,0,0,100,2
67,FLK,0,0,3528,0,NA,NA,0,100,2
68,FRA,468253,5397,67564251,0,0,1.15258204432219,7.98795209022594,0.0554919585214586,-1.2557699470176602
69,FRO,0,0,49053,0,NA,NA,0,100,2
70,GAB,1773,0,2278829,0,NA,0,0,100,2
71,GBR,1180669,128959,68207114,2,1.55088051241092e-5,10.9225362908656,189.069720791881,0.00232298442002232,-2.633953702950959
72,GEO,127384,71,3979773,0,0,0.0557369842366388,1.78402134996142,4.13156587069095,0.6161146812240256
73,GGY,0,0,63385,0,NA,NA,0,100,2
74,GHA,843,0,31732128,0,NA,0,0,100,2
75,GIB,0,0,33691,0,NA,NA,0,100,2
76,GIN,110,0,13497237,0,NA,0,0,100,2
77,GLP,0,2,NA,0,0,Inf,NA,77.6393202250021,1.8900817242456536
78,GMB,24,0,2486937,0,NA,0,0,100,2
79,GNB,307,0,NA,0,NA,0,NA,100,2
80,GNQ,275,0,1449891,0,NA,0,0,100,2
81,GRC,189728,387,10370747,0,0,0.203976218586608,3.73165018874725,0.77110265803918,-0.11288779983224384
82,GRD,49,0,113015,0,NA,0,0,100,2
83,GRL,0,0,56868,0,NA,NA,0,100,2
84,GTM,17191,0,18249868,0,NA,0,0,100,2
85,GUF,0,16,NA,0,0,Inf,NA,17.0749722982481,1.23236000777215
86,GUY,2329,0,790329,0,NA,0,0,100,2
87,HKG,85,25,7552800,2,0.08,29.4117647058824,0.331003071708505,11.2928145006843,1.0528021943416714
88,HND,2646,0,10062994,0,NA,0,0,100,2
89,HRV,140834,498,4081657,0,0,0.353607793572575,12.2009272214691,0.599746959897007,-0.22203194478289218
90,HTI,1204,0,11541683,0,NA,0,0,100,2
91,HUN,205469,0,9634162,0,NA,0,0,100,2
92,IDN,12721,10,276361788,0,0,0.078610172156277,0.00361844525336477,25.8865550893052,1.413074259579338
93,IMN,0,0,85410,0,NA,NA,0,100,2
94,IND,320362,30,1393409033,0,0,0.00936440651512976,0.0021529930759391,9.50338528553041,0.9778783367557928
